BB052	1956225	2481070	405362	405600	748395	490720
BB059	1956225	2481070	405362	405600	748395	490720
BB068	1956225	2481070	405362	405600	748395	490720
BB069	1956225	2481070	405362	405600	748395	490720
BB080	1956225	2481070	405362	405600	748395	490720
BB082	1956225	2481070	405362	405600	748395	490720
BB084	1956225	2481070	405362	405600	748395	490720
BB085	1956225	2481070	405362	405600	748395	
KP001	1956225	405362	405600	748395	490720	
KP004	1956225	405362	405600	748395	490720	
KP027	1956225	2481070	405362	405600	748395	490720
KP030	2481070	405362	405600	490720		
KP054	1956225	2481070	405362	405600	748395	490720
KP059	2481070	405362	405600	748395	490720	
KP062	405362	405600	748395	490720		
KP065	1956225	2481070	405362	405600	748395	490720
KP073	1956225	2481070	405362	405600	748395	490720
OM352	1956225	2481070	405362	405600	748395	490720
SN003	1956225	2481070	405362	405600	748395	490720
SN015	1956225	2481070	405362	405600	748395	490720
SN016	1956225	2481070	405362	405600	748395	490720
SN019	1956225	2481070	405362	405600	748395	490720
SN022	1956225	2481070	405362	405600	748395	490720
SN030	1956225	2481070	405362	405600	748395	490720
SN031	1956225	2481070	405362	405600	748395	490720
SN032	1956225	2481070	405362	405600	748395	490720
SN035	1956225	2481070	405362	405600	748395	490720
SN038	1956225	2481070	405362	405600	748395	490720
SN039	1956225	2481070	405362	405600	748395	490720
SN042	1956225	2481070	405362	405600	748395	490720
SN043	1956225	2481070	405362	405600	748395	490720
SN044	1956225	2481070	405362	405600	748395	490720
SN046	1956225	2481070	405362	405600	748395	490720
SN047	1956225	2481070	405362	405600	748395	490720
SN048	1956225	2481070	405362	405600	748395	490720
SN052	1956225	2481070	405362	405600	748395	490720
SN057	1956225	2481070	405362	405600	748395	490720
SN058	1956225	2481070	405362	405600	748395	490720
SN060	1956225	2481070	405362	405600	748395	490720
SN061	1956225	2481070	405362	405600	748395	490720
SN062	1956225	2481070	405362	405600	748395	490720
SN063	1956225	2481070	405600	748395	490720	
SN064	2481070	748395	490720			
SN066	1956225	2481070	405362	405600	748395	490720
SN071	1956225	2481070	405362	405600	748395	490720
SN072	1956225	2481070	405362	405600	748395	490720
SN074	1956225	2481070	405362	405600	748395	490720
SN075	1956225	2481070	405362	405600	748395	490720
SN076	1956225	2481070	405362	405600	748395	
SN077	1956225	2481070	405362	405600	748395	490720
SN078	1956225	2481070	405362	405600	748395	490720
SN079	1956225	2481070	405362	405600	748395	
SN081	1956225	2481070	405362	405600	748395	490720
SN082	1956225	2481070	405362	405600	748395	490720
SN083	1956225	2481070	405362	405600	748395	490720
SN084	1956225	2481070	405362	405600	748395	490720
SN085	1956225	2481070	405362	405600	748395	490720
SN086	1956225	2481070	405362	405600	748395	490720
SN091	1956225	2481070	405362	405600	748395	
SN092	1956225	2481070	405362	405600	748395	490720
SN093	1956225	2481070	405362	405600	748395	490720
SN095	1956225	2481070	405362	405600	748395	490720
SN096	1956225	2481070	405362	405600	748395	490720
SN097	1956225	405362	405600	748395	490720	
SN098	1956225	2481070	405362	405600	748395	490720
SN099	1956225	2481070	405362	405600	748395	490720
SN101	1956225	2481070	405362	405600	748395	490720
SN102	1956225	2481070	405362	405600	748395	490720
SN103	1956225	2481070	405362	405600	748395	
SN105	1956225	2481070	405362	405600	748395	490720
SN106	1956225	2481070	405362	405600	748395	490720
SN107	748395					
SN108	1956225	2481070	405362	405600	748395	490720
SN109	1956225	2481070	405362	405600	748395	
SN111	1956225					
SN114	1956225	2481070	405362	405600	748395	490720
SN116	1956225	2481070	405362	405600	748395	490720
SN117	1956225	2481070	405362	405600	748395	490720
TB47R	1956225	2481070	405362	405600	748395	490720
TB55R	1956225	2481070	405362	405600	748395	490720	
